onset	duration	trial_type	trial_name	stim_file	stim_file_index
25.950	0.500	79	DIAGONAL-LD-RU-9	prf_stim_093.png	93
26.800	0.500	77	DIAGONAL-LD-RU-7	prf_stim_091.png	91
27.650	0.500	72	DIAGONAL-LD-RU-2	prf_stim_086.png	86
28.500	0.500	9	VERTICAL-L-R-7	prf_stim_007.png	7
29.350	0.500	12	VERTICAL-L-R-10	prf_stim_010.png	10
30.200	0.500	97	DIAGONAL-RU-LD-3	prf_stim_199.png	199
31.050	0.500	56	HORIZONTAL-U-D-26	prf_stim_171.png	171
31.900	0.500	70	DIAGONAL-RD-LU-12	prf_stim_040.png	40
32.750	0.500	76	DIAGONAL-LD-RU-6	prf_stim_090.png	90
33.600	0.500	15	VERTICAL-L-R-13	prf_stim_128.png	128
34.450	0.500	9	VERTICAL-L-R-7	prf_stim_134.png	134
35.300	0.500	17	VERTICAL-L-R-15	prf_stim_015.png	15
36.150	0.500	14	VERTICAL-L-R-12	prf_stim_012.png	12
37.000	0.500	21	VERTICAL-L-R-19	prf_stim_122.png	122
37.850	0.500	40	HORIZONTAL-U-D-10	prf_stim_187.png	187
38.700	0.500	33	HORIZONTAL-U-D-3	prf_stim_059.png	59
39.550	0.500	97	DIAGONAL-RU-LD-3	prf_stim_199.png	199
40.400	0.500	13	VERTICAL-L-R-11	prf_stim_130.png	130
41.250	0.500	20	VERTICAL-L-R-18	prf_stim_123.png	123
42.100	0.500	59	DIAGONAL-RD-LU-1	prf_stim_029.png	29
42.950	0.500	91	DIAGONAL-LU-RD-9	prf_stim_149.png	149
43.800	0.500	62	DIAGONAL-RD-LU-4	prf_stim_032.png	32
44.650	0.500	51	HORIZONTAL-U-D-21	prf_stim_077.png	77
45.500	0.500	11	VERTICAL-L-R-9	prf_stim_009.png	9
46.350	0.500	3	VERTICAL-L-R-1	prf_stim_001.png	1
47.200	0.500	57	HORIZONTAL-U-D-27	prf_stim_083.png	83
48.050	0.500	104	DIAGONAL-RU-LD-10	prf_stim_206.png	206
48.900	0.500	94	DIAGONAL-LU-RD-12	prf_stim_152.png	152
49.750	0.500	58	HORIZONTAL-U-D-28	prf_stim_169.png	169
50.600	0.500	66	DIAGONAL-RD-LU-8	prf_stim_036.png	36
51.450	0.500	101	DIAGONAL-RU-LD-7	prf_stim_203.png	203
52.300	0.500	17	VERTICAL-L-R-15	prf_stim_126.png	126
53.150	0.500	34	HORIZONTAL-U-D-4	prf_stim_193.png	193
54.000	0.500	105	DIAGONAL-RU-LD-11	prf_stim_207.png	207
54.850	0.500	41	HORIZONTAL-U-D-11	prf_stim_186.png	186
55.700	0.500	42	HORIZONTAL-U-D-12	prf_stim_068.png	68
56.550	0.500	73	DIAGONAL-LD-RU-3	prf_stim_087.png	87
57.400	0.500	30	VERTICAL-L-R-28	prf_stim_028.png	28
58.250	0.500	93	DIAGONAL-LU-RD-11	prf_stim_151.png	151
59.100	0.500	30	VERTICAL-L-R-28	prf_stim_028.png	28
59.950	0.500	16	VERTICAL-L-R-14	prf_stim_014.png	14
60.800	0.500	14	VERTICAL-L-R-12	prf_stim_129.png	129
61.650	0.500	92	DIAGONAL-LU-RD-10	prf_stim_150.png	150
62.500	0.500	91	DIAGONAL-LU-RD-9	prf_stim_149.png	149
63.350	0.500	76	DIAGONAL-LD-RU-6	prf_stim_090.png	90
64.200	0.500	5	VERTICAL-L-R-3	prf_stim_138.png	138
65.050	0.500	37	HORIZONTAL-U-D-7	prf_stim_190.png	190
65.900	0.500	99	DIAGONAL-RU-LD-5	prf_stim_201.png	201
66.750	0.500	47	HORIZONTAL-U-D-17	prf_stim_073.png	73
67.600	0.500	42	HORIZONTAL-U-D-12	prf_stim_185.png	185
68.450	0.500	51	HORIZONTAL-U-D-21	prf_stim_176.png	176
69.300	0.500	39	HORIZONTAL-U-D-9	prf_stim_065.png	65
70.150	0.500	52	HORIZONTAL-U-D-22	prf_stim_175.png	175
71.000	0.500	35	HORIZONTAL-U-D-5	prf_stim_061.png	61
71.850	0.500	6	VERTICAL-L-R-4	prf_stim_004.png	4
72.700	0.500	16	VERTICAL-L-R-14	prf_stim_127.png	127
73.550	0.500	76	DIAGONAL-LD-RU-6	prf_stim_090.png	90
74.400	0.500	59	DIAGONAL-RD-LU-1	prf_stim_029.png	29
