onset	duration	trial_name	trial_type	stim_file
2.000	0.200	BOLDSAT_1.33Hz	133	../circle/images/green_circle.png
2.750	0.200	BOLDSAT	1	../circle/images/green_circle.png
3.500	0.200	BOLDSAT	1	../circle/images/green_circle.png
4.250	0.200	BOLDSAT	1	../circle/images/green_circle.png
5.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
5.750	0.200	BOLDSAT	1	../circle/images/green_circle.png
6.500	0.200	BOLDSAT	1	../circle/images/green_circle.png
7.250	0.200	BOLDSAT	1	../circle/images/green_circle.png
8.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
20.000	0.200	BOLDSAT_1.83Hz	183	../circle/images/green_circle.png
20.545	0.200	BOLDSAT	1	../circle/images/green_circle.png
21.091	0.200	BOLDSAT	1	../circle/images/green_circle.png
21.636	0.200	BOLDSAT	1	../circle/images/green_circle.png
22.182	0.200	BOLDSAT	1	../circle/images/green_circle.png
22.727	0.200	BOLDSAT	1	../circle/images/green_circle.png
23.273	0.200	BOLDSAT	1	../circle/images/green_circle.png
23.818	0.200	BOLDSAT	1	../circle/images/green_circle.png
24.364	0.200	BOLDSAT	1	../circle/images/green_circle.png
24.909	0.200	BOLDSAT	1	../circle/images/green_circle.png
25.455	0.200	BOLDSAT	1	../circle/images/green_circle.png
26.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
38.000	0.200	BOLDSAT_1.83Hz	183	../circle/images/green_circle.png
38.545	0.200	BOLDSAT	1	../circle/images/green_circle.png
39.091	0.200	BOLDSAT	1	../circle/images/green_circle.png
39.636	0.200	BOLDSAT	1	../circle/images/green_circle.png
40.182	0.200	BOLDSAT	1	../circle/images/green_circle.png
40.727	0.200	BOLDSAT	1	../circle/images/green_circle.png
41.273	0.200	BOLDSAT	1	../circle/images/green_circle.png
41.818	0.200	BOLDSAT	1	../circle/images/green_circle.png
42.364	0.200	BOLDSAT	1	../circle/images/green_circle.png
42.909	0.200	BOLDSAT	1	../circle/images/green_circle.png
43.455	0.200	BOLDSAT	1	../circle/images/green_circle.png
44.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
56.000	0.200	BOLDSAT_1.33Hz	133	../circle/images/green_circle.png
56.750	0.200	BOLDSAT	1	../circle/images/green_circle.png
57.500	0.200	BOLDSAT	1	../circle/images/green_circle.png
58.250	0.200	BOLDSAT	1	../circle/images/green_circle.png
59.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
59.750	0.200	BOLDSAT	1	../circle/images/green_circle.png
60.500	0.200	BOLDSAT	1	../circle/images/green_circle.png
61.250	0.200	BOLDSAT	1	../circle/images/green_circle.png
62.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
74.000	0.200	BOLDSAT_1.83Hz	183	../circle/images/green_circle.png
74.545	0.200	BOLDSAT	1	../circle/images/green_circle.png
75.091	0.200	BOLDSAT	1	../circle/images/green_circle.png
75.636	0.200	BOLDSAT	1	../circle/images/green_circle.png
76.182	0.200	BOLDSAT	1	../circle/images/green_circle.png
76.727	0.200	BOLDSAT	1	../circle/images/green_circle.png
77.273	0.200	BOLDSAT	1	../circle/images/green_circle.png
77.818	0.200	BOLDSAT	1	../circle/images/green_circle.png
78.364	0.200	BOLDSAT	1	../circle/images/green_circle.png
78.909	0.200	BOLDSAT	1	../circle/images/green_circle.png
79.455	0.200	BOLDSAT	1	../circle/images/green_circle.png
80.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
92.000	0.200	BOLDSAT_1.33Hz	133	../circle/images/green_circle.png
92.750	0.200	BOLDSAT	1	../circle/images/green_circle.png
93.500	0.200	BOLDSAT	1	../circle/images/green_circle.png
94.250	0.200	BOLDSAT	1	../circle/images/green_circle.png
95.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
95.750	0.200	BOLDSAT	1	../circle/images/green_circle.png
96.500	0.200	BOLDSAT	1	../circle/images/green_circle.png
97.250	0.200	BOLDSAT	1	../circle/images/green_circle.png
98.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
110.000	0.200	BOLDSAT_1.33Hz	133	../circle/images/green_circle.png
110.750	0.200	BOLDSAT	1	../circle/images/green_circle.png
111.500	0.200	BOLDSAT	1	../circle/images/green_circle.png
112.250	0.200	BOLDSAT	1	../circle/images/green_circle.png
113.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
113.750	0.200	BOLDSAT	1	../circle/images/green_circle.png
114.500	0.200	BOLDSAT	1	../circle/images/green_circle.png
