onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index
114.35	0.5	0.35	47	HORIZONTAL-U-D-17	images/prf_1_180.png	180
115.2	0.5	0.35	46	HORIZONTAL-U-D-16	images/prf_1_181.png	181
116.05	0.5	0.35	45	HORIZONTAL-U-D-15	images/prf_1_182.png	182
116.9	0.5	0.35	44	HORIZONTAL-U-D-14	images/prf_1_183.png	183
117.75	0.5	0.35	43	HORIZONTAL-U-D-13	images/prf_1_184.png	184
118.6	0.5	0.35	42	HORIZONTAL-U-D-12	images/prf_1_185.png	185
119.45	0.5	0.35	41	HORIZONTAL-U-D-11	images/prf_1_186.png	186
120.3	0.5	0.35	40	HORIZONTAL-U-D-10	images/prf_1_187.png	187
121.15	0.5	0.35	39	HORIZONTAL-U-D-9	images/prf_1_188.png	188
122	0.5	0.35	38	HORIZONTAL-U-D-8	images/prf_1_189.png	189
122.85	0.5	0.35	37	HORIZONTAL-U-D-7	images/prf_1_190.png	190
123.7	0.5	0.35	36	HORIZONTAL-U-D-6	images/prf_1_191.png	191
124.55	0.5	0.35	35	HORIZONTAL-U-D-5	images/prf_1_192.png	192
125.4	0.5	0.35	34	HORIZONTAL-U-D-4	images/prf_1_193.png	193
126.25	0.5	0.35	33	HORIZONTAL-U-D-3	images/prf_1_194.png	194
127.1	0.5	0.35	32	HORIZONTAL-U-D-2	images/prf_1_195.png	195
127.95	0.5	0.35	31	HORIZONTAL-U-D-1	images/prf_1_196.png	196
128.8	0.5	0.35	95	DIAGONAL-RU-LD-1	images/prf_1_197.png	197
129.65	0.5	0.35	96	DIAGONAL-RU-LD-2	images/prf_1_198.png	198
130.5	0.5	0.35	97	DIAGONAL-RU-LD-3	images/prf_1_199.png	199
131.35	0.5	0.35	98	DIAGONAL-RU-LD-4	images/prf_1_200.png	200
132.2	0.5	0.35	99	DIAGONAL-RU-LD-5	images/prf_1_201.png	201
133.05	0.5	0.35	100	DIAGONAL-RU-LD-6	images/prf_1_202.png	202
133.9	0.5	0.35	101	DIAGONAL-RU-LD-7	images/prf_1_203.png	203
